edge_id,start,end,length,linestring,highway,oneway,reversed,lanes,name
0,0,3595,732.816,LINESTRING (131.6720243 32.4970358 131.6719999 32.4971781 131.6720068 32.4974358 131.6720358 32.4975939 131.6721124 32.4979191 131.6721153 32.4981151 131.672098 32.4982343 131.6720568 32.4983497 131.6719837 32.4985013 131.6716127 32.4991743 131.6715804 32.4992413 131.6715655 32.4993234 131.6715766 32.4993832 131.6716123 32.4994626 131.6718796 32.5000308 131.6719225 32.5000952 131.6719885 32.5001763 131.672062 32.5002389 131.673038 32.5009523 131.6733439 32.5011694 131.6736838 32.5013547 131.6740963 32.5014832 131.6746004 32.5015681 131.6746931 32.5016241 131.674759 32.501733 131.6747282 32.5021239),tertiary,False,False,nan,nan
1,0,3162,114.499,LINESTRING (131.6720243 32.4970358 131.6720386 32.4969326 131.6721259 32.4965472 131.6721435 32.4964497 131.6721481 32.4960149),tertiary,False,True,nan,nan
2,1,8533,873.404,LINESTRING (131.7138135 32.4979817 131.7137043 32.4981209 131.7136349 32.4982224 131.7135448 32.4983786 131.713469 32.4985153 131.7134378 32.4985578 131.7134012 32.4985935 131.7133194 32.4986617 131.7132613 32.4987049 131.7132322 32.498714 131.713184 32.4987317 131.713149 32.498744 131.713091 32.498785 131.7130313 32.4988202 131.7129698 32.4988391 131.7129032 32.4988515 131.7128338 32.4988476 131.7127527 32.4988264 131.7126263 32.4987716 131.7125138 32.498695 131.712401 32.4986008 131.7123726 32.4985831 131.7123222 32.4985806 131.7123017 32.498593 131.7122731 32.4986361 131.7122552 32.4986889 131.7122508 32.4987362 131.7122539 32.4987748 131.7122775 32.4988147 131.7124685 32.4990799 131.712557 32.4992189 131.7125917 32.4992533 131.7126459 32.4992913 131.7128257 32.4993727 131.7128777 32.4994019 131.712975 32.4994702 131.7129893 32.4994945 131.7129847 32.4995644 131.7129514 32.4996007 131.7129153 32.4996085 131.7125997 32.4996889 131.7123493 32.4997311 131.7122969 32.4997549 131.7122548 32.4997925 131.7122415 32.4998916 131.7122307 32.4999183 131.7121948 32.4999465 131.712153 32.4999559 131.7121021 32.499945 131.7120487 32.4999169 131.7119081 32.4997861 131.7118642 32.4997637 131.7117936 32.4997416 131.7117383 32.4997431 131.7117016 32.4997441 131.711614 32.499769 131.7115533 32.4997891 131.7114306 32.4998511 131.7114083 32.4998663 131.7113843 32.4998963 131.7113603 32.4999395 131.7113542 32.4999946 131.7113648 32.5002553 131.7113548 32.500293 131.7112787 32.5005147 131.7112757 32.5005545 131.7112921 32.500609 131.7112892 32.500664 131.7112399 32.500787 131.7112192 32.5008095 131.7111877 32.5008178 131.7111547 32.5008157 131.7109717 32.500758 131.7109347 32.5007515 131.7106437 32.5007318 131.7104584 32.5007272 131.7103667 32.5007326 131.7103104 32.5007488 131.7102785 32.500784 131.7102412 32.5008596 131.7102061 32.5009196 131.7101945 32.5009591 131.7102018 32.5010076 131.7102781 32.5011741 131.710283 32.50122 131.7102768 32.5012875 131.7102616 32.5013141 131.7102264 32.5013468 131.7101467 32.5014119 131.7100372 32.5015459 131.7100165 32.5015605 131.7099835 32.5015669 131.7099451 32.5015671 131.7097821 32.5015515 131.7096825 32.5015393 131.7096326 32.5015393 131.7095108 32.5015636 131.7094297 32.5015923),secondary,False,False,nan,遠見半島線
3,1,2,219.06100000000004,LINESTRING (131.7138135 32.4979817 131.7137641 32.4979749 131.7137165 32.4979836 131.7136765 32.4980157 131.7136561 32.4980398 131.7136146 32.498149 131.7135953 32.4981757 131.7133594 32.4984601 131.7133291 32.4984819 131.7132392 32.4985329 131.7131743 32.4985529 131.7130783 32.4985571 131.7130285 32.4985593 131.7129892 32.4985715 131.7128723 32.4986089 131.7128077 32.4986093 131.7127536 32.4985943 131.7127106 32.4985702 131.7126743 32.4985272 131.7126425 32.4984857 131.7125657 32.4983317 131.7125285 32.4982787 131.7124861 32.4982437 131.7124327 32.4982148 131.7123513 32.4981967 131.7122051 32.498194 131.7120938 32.4982122),secondary,False,True,nan,遠見半島線
4,2,8538,5.765,LINESTRING (131.7120938 32.4982122 131.7121082 32.4981618),unclassified,False,True,nan,nan
5,2,1,219.061,LINESTRING (131.7120938 32.4982122 131.7122051 32.498194 131.7123513 32.4981967 131.7124327 32.4982148 131.7124861 32.4982437 131.7125285 32.4982787 131.7125657 32.4983317 131.7126425 32.4984857 131.7126743 32.4985272 131.7127106 32.4985702 131.7127536 32.4985943 131.7128077 32.4986093 131.7128723 32.4986089 131.7129892 32.4985715 131.7130285 32.4985593 131.7130783 32.4985571 131.7131743 32.4985529 131.7132392 32.4985329 131.7133291 32.4984819 131.7133594 32.4984601 131.7135953 32.4981757 131.7136146 32.498149 131.7136561 32.4980398 131.7136765 32.4980157 131.7137165 32.4979836 131.7137641 32.4979749 131.7138135 32.4979817),secondary,False,False,nan,遠見半島線
6,2,8536,249.856,LINESTRING (131.7120938 32.4982122 131.7119884 32.4982291 131.7118662 32.4982007 131.7118335 32.4981771 131.7118127 32.4981441 131.7116929 32.4978713 131.7116788 32.4978425 131.7116544 32.497816 131.7114865 32.4977363 131.7114424 32.4977273 131.7114011 32.4977337 131.7113574 32.4977542 131.7113385 32.4977802 131.7113015 32.4979905 131.7112848 32.4980298 131.7112427 32.4980651 131.7111804 32.4980888 131.7108548 32.4980735 131.710811 32.498063 131.7106661 32.4979768 131.7106322 32.4979517 131.7105965 32.4979109 131.7105301 32.4977977 131.7105073 32.4977634 131.7104647 32.4977294 131.7102635 32.497662),secondary,False,True,nan,遠見半島線
7,3,3172,47.472,LINESTRING (131.6633504 32.501595 131.6634 32.501473 131.663436 32.5011766),unclassified,False,False,nan,nan
8,3,3171,110.44299999999998,LINESTRING (131.6633504 32.501595 131.6628315 32.501201 131.6627163 32.5010846 131.6625438 32.5008779),secondary,False,False,nan,土々呂日向線
9,3,8588,780.2650000000001,LINESTRING (131.6633504 32.501595 131.66379 32.5019368 131.6641559 32.5021952 131.6646585 32.5024483 131.6649979 32.5025807 131.6661437 32.5029256 131.6671858 32.5032577 131.6678214 32.5036143 131.6684211 32.5039722 131.6691975 32.5044981 131.6693506 32.5046113 131.66938 32.5046315 131.6703271 32.5052799),secondary,False,True,nan,土々呂日向線
10,4,5,95.164,LINESTRING (131.6691508 32.5027578 131.6697135 32.5030667 131.6700148 32.5032056),unclassified,False,False,nan,nan
11,4,8790,106.02,LINESTRING (131.6691508 32.5027578 131.6692145 32.5026731 131.669287 32.5025999 131.6693496 32.5025442 131.6693762 32.502534 131.6694392 32.5025406 131.6694864 32.5026002 131.6699491 32.5029606),['unclassified' 'service'],False,[False True],nan,nan
12,4,8789,291.844,LINESTRING (131.6691508 32.5027578 131.6690004 32.5027014 131.6689147 32.50268 131.6687747 32.5026332 131.6684596 32.5024642 131.6684307 32.5024184 131.6684089 32.5023716 131.6684041 32.5023217 131.6684077 32.5022718 131.668427 32.502223 131.6686178 32.5019308 131.6687988 32.501771 131.6689062 32.501657 131.6690767 32.5014328 131.6691646 32.5013061 131.669304 32.5010643 131.6693554 32.5009551 131.6693979 32.5008367 131.6694484 32.5007558),unclassified,False,False,nan,nan
13,5,6,107.113,LINESTRING (131.6700148 32.5032056 131.6694412 32.5038099 131.669302 32.5039583),unclassified,False,False,nan,nan
14,5,4,95.164,LINESTRING (131.6700148 32.5032056 131.6697135 32.5030667 131.6691508 32.5027578),unclassified,False,True,nan,nan
