u,v,key,osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,service,width,bridge,maxspeed,tunnel,access
310797896,10678127431,0,179303749,footway,False,True,2.417,"LINESTRING (130.3737683 33.588273, 130.3737439 33.5882807)",,,,,,,,,
310797900,10678127515,0,28302393,footway,False,True,2.472,"LINESTRING (130.3737127 33.588217, 130.3737195 33.5881955)",,,,,,,,,
312506456,1894392276,0,28444325,tertiary,False,False,5.955,"LINESTRING (130.3708604 33.5746505, 130.3708267 33.5746961)",,,,,,,,,
312506456,6743363922,0,59252300,tertiary,False,True,69.601,"LINESTRING (130.3708604 33.5746505, 130.3708578 33.5745762, 130.371005 33.5740384)",,,,,,,,,
312506456,312506457,0,179100105,trunk,True,False,136.195,"LINESTRING (130.3708604 33.5746505, 130.3698971 33.5742169, 130.3695674 33.5740677)",2,202,別府橋通り,,,,,,
312506456,1793974634,0,942234082,service,False,False,98.525,"LINESTRING (130.3708604 33.5746505, 130.3709794 33.5746001, 130.3710358 33.5744459, 130.3710961 33.5743676, 130.3712597 33.5741531, 130.3713697 33.5740369, 130.3714662 33.5739499)",,,,alley,,,,,
312506457,770595333,0,179100105,trunk,True,False,47.859,"LINESTRING (130.3695674 33.5740677, 130.3691115 33.5738653)",2,202,別府橋通り,,,,,,
312506458,8725239945,0,28444328,tertiary,False,False,61.018,"LINESTRING (130.3705797 33.5754251, 130.3707531 33.5754467, 130.3712328 33.5754958)",2,,,,5,,,,
312506458,734832514,0,28444328,tertiary,False,True,92.88799999999999,"LINESTRING (130.3705797 33.5754251, 130.3703616 33.575402, 130.3695807 33.5753567)",2,,,,5,,,,
312506458,770592072,0,179100133,tertiary,False,False,69.917,"LINESTRING (130.3705797 33.5754251, 130.370577 33.57557, 130.37049 33.5760484)",2,,,,5,,,,
312506458,1894392276,0,179100133,tertiary,False,True,84.928,"LINESTRING (130.3705797 33.5754251, 130.3705796 33.5753085, 130.3706156 33.5751705, 130.3708267 33.5746961)",2,,,,5,,,,
312506464,766978304,0,179100133,tertiary,False,False,182.308,"LINESTRING (130.3700778 33.5790321, 130.3698292 33.5806585)",2,,,,5,,,,
312506464,1809619544,0,179100133,tertiary,False,True,122.029,"LINESTRING (130.3700778 33.5790321, 130.3702369 33.5779427)",2,,,,5,,,,
