osmid,y,x,street_count,highway,ref,geometry
310797896,33.588273,130.3737683,1,,,POINT (130.3737683 33.588273)
310797900,33.588217,130.3737127,1,,,POINT (130.3737127 33.588217)
312506456,33.5746505,130.3708604,5,,,POINT (130.3708604 33.5746505)
312506457,33.5740677,130.3695674,3,,,POINT (130.3695674 33.5740677)
312506458,33.5754251,130.3705797,4,,,POINT (130.3705797 33.5754251)
312506464,33.5790321,130.3700778,4,,,POINT (130.3700778 33.5790321)
312506468,33.579032,130.364188,4,,,POINT (130.364188 33.579032)
312506475,33.5817539,130.3650656,4,,,POINT (130.3650656 33.5817539)
312506477,33.5818658,130.3630835,3,,,POINT (130.3630835 33.5818658)
312506479,33.5827666,130.3607697,4,,,POINT (130.3607697 33.5827666)
312506480,33.5831623,130.3597558,4,crossing,,POINT (130.3597558 33.5831623)
312506482,33.5835778,130.3590987,4,traffic_signals,,POINT (130.3590987 33.5835778)
312506485,33.5853456,130.3622786,3,,,POINT (130.3622786 33.5853456)
312506489,33.5820059,130.3561485,3,,,POINT (130.3561485 33.5820059)
312506493,33.5824608,130.3538753,4,traffic_signals,,POINT (130.3538753 33.5824608)
312506494,33.5832065,130.3536834,3,,,POINT (130.3536834 33.5832065)
312506496,33.5864447,130.3532989,4,,,POINT (130.3532989 33.5864447)
312506499,33.5808454,130.3742327,3,,,POINT (130.3742327 33.5808454)
312506501,33.5828729,130.371674,3,,,POINT (130.371674 33.5828729)
312506505,33.5757808,130.3744414,3,,,POINT (130.3744414 33.5757808)
312518562,33.5946437,130.3524647,3,,,POINT (130.3524647 33.5946437)
312518567,33.5953372,130.3563659,4,,,POINT (130.3563659 33.5953372)
312518569,33.5957741,130.3577987,1,,,POINT (130.3577987 33.5957741)
312856570,33.5826983,130.3733087,4,traffic_signals,,POINT (130.3733087 33.5826983)
331387224,33.5903543,130.3323269,5,traffic_signals,,POINT (130.3323269 33.5903543)
331387249,33.5875812,130.341494,5,traffic_signals,,POINT (130.341494 33.5875812)
331387258,33.5881241,130.3560852,4,traffic_signals,,POINT (130.3560852 33.5881241)
331387262,33.5938831,130.3674633,4,traffic_signals,,POINT (130.3674633 33.5938831)
331387300,33.5742805,130.3465715,4,,,POINT (130.3465715 33.5742805)
331387301,33.5748047,130.3582272,4,traffic_signals,,POINT (130.3582272 33.5748047)
331387302,33.574977,130.3622001,4,,,POINT (130.3622001 33.574977)
372507645,33.5757421,130.3739659,4,,,POINT (130.3739659 33.5757421)
372507669,33.5761727,130.3742677,3,,,POINT (130.3742677 33.5761727)
373831496,33.5912508,130.3635665,4,traffic_signals,,POINT (130.3635665 33.5912508)
373831505,33.5934174,130.3619696,4,crossing,,POINT (130.3619696 33.5934174)
373831629,33.5930916,130.3533394,3,,,POINT (130.3533394 33.5930916)
373847882,33.5944401,130.3507016,3,,,POINT (130.3507016 33.5944401)
373847913,33.5954782,130.3511166,1,,,POINT (130.3511166 33.5954782)
373851756,33.5763466,130.3745241,5,,,POINT (130.3745241 33.5763466)
376338932,33.5750669,130.3718131,3,,,POINT (130.3718131 33.5750669)
376338937,33.5754237,130.3727346,3,,,POINT (130.3727346 33.5754237)
376338956,33.5756761,130.3731181,3,,,POINT (130.3731181 33.5756761)
376338968,33.5751986,130.3728505,3,,,POINT (130.3728505 33.5751986)
502929786,33.5899726,130.36939,4,,,POINT (130.36939 33.5899726)
540037680,33.5930081,130.372354,3,,,POINT (130.372354 33.5930081)
540037681,33.5932888,130.372267,3,,,POINT (130.372267 33.5932888)
707577887,33.6000671,130.3730703,4,,,POINT (130.3730703 33.6000671)
707577896,33.5985718,130.3708808,3,,,POINT (130.3708808 33.5985718)
707577905,33.5974801,130.3705928,3,,,POINT (130.3705928 33.5974801)
707577908,33.5970619,130.3705349,3,,,POINT (130.3705349 33.5970619)
734832501,33.574372,130.3518419,3,,,POINT (130.3518419 33.574372)
734832502,33.5744241,130.3525355,3,,,POINT (130.3525355 33.5744241)
734832504,33.5745181,130.3539154,3,,,POINT (130.3539154 33.5745181)
734832505,33.5746239,130.3550206,4,,,POINT (130.3550206 33.5746239)
734832506,33.5747052,130.3563301,4,,,POINT (130.3563301 33.5747052)
734832509,33.5748936,130.3600514,4,,,POINT (130.3600514 33.5748936)
734832510,33.5749073,130.360589,3,,,POINT (130.360589 33.5749073)
734832511,33.575064,130.3640041,4,,,POINT (130.3640041 33.575064)
734832512,33.5751287,130.3652781,4,,,POINT (130.3652781 33.5751287)
734832514,33.5753567,130.3695807,3,,,POINT (130.3695807 33.5753567)
766978304,33.5806585,130.3698292,4,,,POINT (130.3698292 33.5806585)
766978306,33.581097,130.3697692,4,,,POINT (130.3697692 33.581097)
766978311,33.5823917,130.3686901,4,,,POINT (130.3686901 33.5823917)
766978319,33.5852933,130.3679,4,,,POINT (130.3679 33.5852933)
766978320,33.5856228,130.3678476,4,,,POINT (130.3678476 33.5856228)
766978323,33.586424,130.3677333,4,,,POINT (130.3677333 33.586424)
766978326,33.5873529,130.3671368,4,,,POINT (130.3671368 33.5873529)
766978327,33.5877195,130.3668298,3,,,POINT (130.3668298 33.5877195)
766978328,33.5881995,130.3663863,4,,,POINT (130.3663863 33.5881995)
766978336,33.5875153,130.3652837,4,,,POINT (130.3652837 33.5875153)
766978340,33.5884841,130.3668643,3,,,POINT (130.3668643 33.5884841)
766978341,33.5886982,130.3672503,3,,,POINT (130.3672503 33.5886982)
766978342,33.5891624,130.368037,3,,,POINT (130.368037 33.5891624)
766978344,33.589402,130.3684321,3,,,POINT (130.3684321 33.589402)
766978349,33.5903309,130.3707586,4,traffic_signals,,POINT (130.3707586 33.5903309)
766978350,33.5903878,130.3716814,4,,,POINT (130.3716814 33.5903878)
766979841,33.5752884,130.3680557,5,,,POINT (130.3680557 33.5752884)
767193122,33.5814212,130.3739289,4,,,POINT (130.3739289 33.5814212)
767193123,33.5822934,130.3734584,3,,,POINT (130.3734584 33.5822934)
770591778,33.5759502,130.3740669,3,,,POINT (130.3740669 33.5759502)
770591784,33.5777826,130.3728898,3,,,POINT (130.3728898 33.5777826)
770591801,33.5760834,130.3731146,4,,,POINT (130.3731146 33.5760834)
770591816,33.577654,130.3715926,4,,,POINT (130.3715926 33.577654)
770591821,33.5760996,130.37178,3,,,POINT (130.37178 33.5760996)
770591822,33.5772753,130.3677727,4,,,POINT (130.3677727 33.5772753)
770591823,33.5773375,130.3683998,4,,,POINT (130.3683998 33.5773375)
770591830,33.5775265,130.3703064,4,,,POINT (130.3703064 33.5775265)
770591834,33.5775883,130.3709293,3,,,POINT (130.3709293 33.5775883)
770591837,33.5777192,130.3722501,3,,,POINT (130.3722501 33.5777192)
770591840,33.5778496,130.3736676,4,,,POINT (130.3736676 33.5778496)
770591911,33.5812688,130.3672051,3,,,POINT (130.3672051 33.5812688)
770591922,33.5808519,130.3709041,3,,,POINT (130.3709041 33.5808519)
770592032,33.5751333,130.3583019,4,traffic_signals,,POINT (130.3583019 33.5751333)
770592035,33.5751638,130.3591395,4,,,POINT (130.3591395 33.5751638)
770592037,33.5752017,130.3601091,4,,,POINT (130.3601091 33.5752017)
770592038,33.5752502,130.3611796,4,,,POINT (130.3611796 33.5752502)
770592045,33.5752797,130.3626732,4,,,POINT (130.3626732 33.5752797)
770592048,33.5753939,130.3639508,4,,,POINT (130.3639508 33.5753939)
770592051,33.5755353,130.3652195,4,,,POINT (130.3652195 33.5755353)
770592061,33.5757869,130.367985,4,traffic_signals,,POINT (130.367985 33.5757869)
770592066,33.5759068,130.3692344,3,,,POINT (130.3692344 33.5759068)
770592072,33.5760484,130.37049,4,traffic_signals,,POINT (130.37049 33.5760484)
770594365,33.5876972,130.3479975,4,traffic_signals,,POINT (130.3479975 33.5876972)
770594391,33.5864118,130.3479993,4,,,POINT (130.3479993 33.5864118)
