osmid,tags,members,related_info
1871204,"{'colour': '#FF4500', 'from': 'Fukuokakūkō (Airport)', 'name': '福岡市地下鉄空港線', 'name:en': 'Fukuoka City Subway Kūkō Line', 'name:ja': '福岡市地下鉄空港線', 'name:ko': '후쿠오카시 지하철 공항선', 'network': '福岡市地下鉄', 'operator': '福岡市交通局', 'operator:en': 'Fukuoka City Transportation Bureau', 'operator:ja': '福岡市交通局', 'operator:ja_rm': 'Fukuoka-shi Kōtsūkyoku', 'public_transport:version': '2', 'ref': 'K', 'relation': '1871204', 'route': 'subway', 'to': 'Meinohama', 'type': 'route', 'wikidata': 'Q6455382', 'wikipedia': 'en:Kūkō Line'}","[(2560954531, 'stop', 'n'), (3332825598, 'stop', 'n'), (473575925, 'stop', 'n'), (3332825597, 'stop', 'n'), (252530449, 'stop', 'n'), (526990152, 'stop', 'n'), (526994811, 'stop', 'n'), (3332825684, 'stop', 'n'), (3332825599, 'stop', 'n'), (2580372380, 'stop', 'n'), (252530467, 'stop', 'n'), (252530468, 'stop', 'n'), (2206922913, 'stop', 'n'), (44960415, '', 'w'), (210616062, '', 'w')]",[]
2270228,"{'natural': 'beach', 'type': 'multipolygon'}","[(640729958, 'outer', 'w'), (170664351, 'outer', 'w')]",[]
2974964,"{'amenity': 'restaurant', 'name': 'BIG BANANA', 'source': 'survey', 'type': 'site'}","[(224085951, '', 'w'), (224085967, '', 'w')]",[]
2974965,"{'alt_name': '百道浜', 'alt_name:ja': '百道浜', 'alt_name:ja-Hira': 'ももちはま', 'alt_name:ja-Jpan': '百道浜', 'alt_name:ja-Latn': 'Momochi-hama', 'artificial': 'yes', 'landcover': 'sand', 'landform': 'beach', 'managed': 'yes', 'name': 'ももち浜', 'name:en': 'Momochihama Beach', 'name:ja': 'ももち浜', 'name:ja-Hira': 'ももちはま', 'name:ja-Jpan': 'ももち浜', 'name:ja-Latn': 'Momochi-hama', 'natural': 'beach', 'surface': 'sand', 'type': 'multipolygon'}","[(444993821, 'outer', 'w'), (28445839, 'outer', 'w')]",[]
3474470,"{'name': '渡辺通幹線', 'network': '西鉄バス', 'network:en': 'Nishitetsu Bus', 'network:ja': '西鉄バス', 'network:wikidata': 'Q11629843', 'operator': '西日本鉄道', 'ref': 'W1', 'route_master': 'bus', 'type': 'route_master', 'wheelchair': 'yes'}","[(5339452, '', 'r'), (5339453, '', 'r'), (5339451, '', 'r'), (5339450, '', 'r')]",[]
3693998,"{'highway': 'pedestrian', 'type': 'multipolygon'}","[(210616067, 'inner', 'w'), (210616063, 'inner', 'w'), (210616068, 'outer', 'w')]",[]
4008548,"{'admin_level': '8', 'boundary': 'administrative', 'name': '西区', 'name:en': 'Nishi Ward', 'name:ja': '西区', 'name:ja-Hira': 'にしく', 'name:ja_kana': 'ニシク', 'name:ja-Latn': 'Nishi-Ku', 'name:zh': '西区', 'name:zh-Hans': '西区', 'name:zh-Hant': '西區', 'source': 'KSJ2/N03', 'type': 'boundary', 'wikidata': 'Q1132402', 'wikipedia': 'ja:西区 (福岡市)'}","[(3056895171, 'label', 'n'), (301606588, 'outer', 'w'), (301613748, 'outer', 'w'), (707953896, 'outer', 'w'), (319653013, 'outer', 'w'), (319653015, 'outer', 'w'), (319653018, 'outer', 'w'), (319650773, 'outer', 'w'), (319648197, 'outer', 'w'), (319649109, 'outer', 'w'), (319653011, 'outer', 'w')]",[]
4008553,"{'admin_level': '8', 'boundary': 'administrative', 'name': '早良区', 'name:en': 'Sawara Ward', 'name:ja': '早良区', 'name:ja-Hira': 'さわらく', 'name:ja-Latn': 'Sawara-Ku', 'name:zh': '早良区', 'name:zh-Hans': '早良区', 'name:zh-Hant': '早良區', 'source': 'KSJ2/N03', 'type': 'boundary', 'wikidata': 'Q1071779', 'wikipedia': 'ja:早良区'}","[(3056905534, 'label', 'n'), (301613528, 'outer', 'w'), (301614477, 'outer', 'w'), (301611191, 'outer', 'w'), (301614479, 'outer', 'w'), (709863032, 'outer', 'w'), (303417063, 'outer', 'w'), (303417064, 'outer', 'w'), (301606541, 'outer', 'w'), (301613748, 'outer', 'w'), (707953896, 'outer', 'w'), (319653013, 'outer', 'w'), (319653014, 'outer', 'w'), (301614476, 'outer', 'w')]",[]
4008554,"{'admin_level': '8', 'boundary': 'administrative', 'name': '中央区', 'name:en': 'Chuo Ward', 'name:ja': '中央区', 'name:ja_kana': 'ちゅうおうく', 'name:ja_rm': 'Chuo-Ku', 'name:zh': '中央区', 'name:zh-Hans': '中央区', 'name:zh-Hant': '中央區', 'source': 'KSJ2/N03', 'type': 'boundary', 'wikidata': 'Q1156273'}","[(3056908554, 'label', 'n'), (301614695, 'outer', 'w'), (301614693, 'outer', 'w'), (319653017, 'outer', 'w'), (319653019, 'outer', 'w'), (319653015, 'outer', 'w'), (319653014, 'outer', 'w'), (301614476, 'outer', 'w'), (301613527, 'outer', 'w')]",[]
4008611,"{'admin_level': '7', 'alt_name:ar': 'فوكو-أوكا', 'boundary': 'administrative', 'int_name': 'Fukuoka', 'name': '福岡市', 'name:ar': 'فوكوكا', 'name:cs': 'Fukuoka', 'name:en': 'Fukuoka', 'name:ja': '福岡市', 'name:ja-Hira': 'ふくおかし', 'name:ja-Latn': 'Fukuoka-Shi', 'name:ko': '후쿠오카', 'name:nl': 'Fukuoka', 'name:zh': '福冈市', 'name:zh-Hans': '福冈市', 'name:zh-Hant': '福岡市', 'population': '1612392', 'source': 'KSJ2/N03', 'source:population': 'Census 2020', 'type': 'boundary', 'wikidata': 'Q26600', 'wikipedia': 'ja:福岡市'}","[(1932338735, 'label', 'n'), (301607363, 'outer', 'w'), (301608754, 'outer', 'w'), (301603531, 'outer', 'w'), (301603161, 'outer', 'w'), (301603162, 'outer', 'w'), (301611276, 'outer', 'w'), (301604817, 'outer', 'w'), (301607918, 'outer', 'w'), (319650772, 'outer', 'w'), (319650773, 'outer', 'w'), (319648197, 'outer', 'w'), (319649109, 'outer', 'w'), (319653011, 'outer', 'w'), (301606588, 'outer', 'w'), (301606541, 'outer', 'w'), (303417064, 'outer', 'w'), (303417063, 'outer', 'w'), (709863032, 'outer', 'w'), (301614479, 'outer', 'w'), (301611191, 'outer', 'w'), (301611196, 'outer', 'w'), (301607365, 'outer', 'w'), (4008575, 'subarea', 'r'), (4008564, 'subarea', 'r'), (4008561, 'subarea', 'r'), (4008554, 'subarea', 'r'), (4008553, 'subarea', 'r'), (4008548, 'subarea', 'r'), (4008545, 'subarea', 'r')]",[]
