prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59337003671899, 130.3572662641577]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-44.84909794625862,"[33.59335384916849, 130.3573292751148]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-65.29765834804175,"[33.59331517716273, 130.3573335079759]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-179.99025174531135,"[33.59322692619971, 130.357337657018]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
Path2
1,"[33.59337003671899, 130.3572662641577]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-44.84909794625862,"[33.59335384916849, 130.3573292751148]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-65.29765834804175,"[33.59331517716273, 130.3573335079759]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-183.91144468312518,"[33.59322692619971, 130.357337657018]","(8416, 8941)","(33.5933129, 130.3573719)","(33.5933471, 130.3574444)"
Path3
1,"[33.59337003671899, 130.3572662641577]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-116.89180996774208,"[33.59335384916849, 130.3573292751148]","(8416, 8941)","(33.5933129, 130.3573719)","(33.5933471, 130.3574444)"
-136.44413081545568,"[33.59331517716273, 130.3573335079759]","(4948, 8416)","(33.5933471, 130.3574444)","(33.5933129, 130.3573719)"
-251.13672421272526,"[33.59322692619971, 130.357337657018]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
Path4
1,"[33.59337003671899, 130.3572662641577]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-116.89180996774208,"[33.59335384916849, 130.3573292751148]","(8416, 8941)","(33.5933129, 130.3573719)","(33.5933471, 130.3574444)"
-136.44413081545568,"[33.59331517716273, 130.3573335079759]","(4948, 8416)","(33.5933471, 130.3574444)","(33.5933129, 130.3573719)"
-255.0579171505391,"[33.59322692619971, 130.357337657018]","(8416, 8941)","(33.5933129, 130.3573719)","(33.5933471, 130.3574444)"
Path5
1,"[33.59337003671899, 130.3572662641577]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-44.84909794625862,"[33.59335384916849, 130.3573292751148]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-164.7969264552416,"[33.59331517716273, 130.3573335079759]","(8416, 8941)","(33.5933129, 130.3573719)","(33.5933471, 130.3574444)"
-271.74981318386926,"[33.59322692619971, 130.357337657018]","(4948, 8416)","(33.5933471, 130.3574444)","(33.5933129, 130.3573719)"
Path6
1,"[33.59337003671899, 130.3572662641577]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-44.84909794625862,"[33.59335384916849, 130.3573292751148]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-164.7969264552416,"[33.59331517716273, 130.3573335079759]","(8416, 8941)","(33.5933129, 130.3573719)","(33.5933471, 130.3574444)"
-282.45356170867234,"[33.59322692619971, 130.357337657018]","(8941, 9663)","(33.5933471, 130.3574444)","(33.5933866, 130.3575522)"
Path7
1,"[33.59337003671899, 130.3572662641577]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-44.84909794625862,"[33.59335384916849, 130.3573292751148]","(4948, 8416)","(33.5933129, 130.3573719)","(33.5933129, 130.3573719)"
-164.7969264552416,"[33.59331517716273, 130.3573335079759]","(8416, 8941)","(33.5933129, 130.3573719)","(33.5933471, 130.3574444)"
-282.45356170867234,"[33.59322692619971, 130.357337657018]","(5076, 8941)","(33.5933471, 130.3574444)","(33.5933866, 130.3575522)"
