prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59219640263691, 130.3629273386955]","(9422, 10511)","(33.59211916880867, 130.36281838980113)","(33.59211916880867, 130.36281838980113)"
-49.737703789659314,"[33.59208496942519, 130.3629936688862]","(3076, 10511)","(33.59211916880867, 130.36281838980113)","(33.5920461, 130.36294)"
-173.216730245837,"[33.59202138849869, 130.3630717379324]","(9420, 10511)","(33.5920461, 130.36294)","(33.59193610541944, 130.36294816364347)"
-289.8627712648161,"[33.59195779080837, 130.3631459177755]","(9420, 10511)","(33.59193610541944, 130.36294816364347)","(33.59185834830818, 130.36300182663388)"
-406.4789250852625,"[33.59186160846948, 130.3632068374477]","(9420, 10511)","(33.59185834830818, 130.36300182663388)","(33.59176471805555, 130.36306644425235)"
-523.2991554469668,"[33.59180778826921, 130.3633028940581]","(9420, 10511)","(33.59176471805555, 130.36306644425235)","(33.59168335700143, 130.3631225944539)"
-641.6581413665027,"[33.59172538158818, 130.363305928307]","(9420, 10511)","(33.59168335700143, 130.3631225944539)","(33.591626118350035, 130.3631620969142)"
-758.3700341636661,"[33.59162807816974, 130.3634180781714]","(9420, 10511)","(33.591626118350035, 130.3631620969142)","(33.59150777957925, 130.3632437667733)"
-875.7287333778509,"[33.59149708788245, 130.3634706327043]","(9420, 10511)","(33.59150777957925, 130.3632437667733)","(33.59139448184536, 130.36332195763083)"
-938.9690009534795,"[33.5913856316205, 130.3634003085367]","(9420, 10511)","(33.59139448184536, 130.36332195763083)","(33.5913867353307, 130.363326482588)"
-1069.7107722993123,"[33.59121771066784, 130.3634986114971]","(9420, 10511)","(33.5913867353307, 130.363326482588)","(33.5913277, 130.3633256)"
Path2
1,"[33.59219640263691, 130.3629273386955]","(9422, 10511)","(33.59211916880867, 130.36281838980113)","(33.59211916880867, 130.36281838980113)"
-49.737703789659314,"[33.59208496942519, 130.3629936688862]","(3076, 10511)","(33.59211916880867, 130.36281838980113)","(33.5920461, 130.36294)"
-173.216730245837,"[33.59202138849869, 130.3630717379324]","(9420, 10511)","(33.5920461, 130.36294)","(33.59193610541944, 130.36294816364347)"
-291.36891765676523,"[33.59195779080837, 130.3631459177755]","(3086, 10511)","(33.59193610541944, 130.36294816364347)","(33.5920251, 130.3628855)"
-429.2825016733129,"[33.59186160846948, 130.3632068374477]","(9420, 10511)","(33.5920251, 130.3628855)","(33.59176471805555, 130.36306644425235)"
-546.1027320350171,"[33.59180778826921, 130.3633028940581]","(9420, 10511)","(33.59176471805555, 130.36306644425235)","(33.59168335700143, 130.3631225944539)"
-664.461717954553,"[33.59172538158818, 130.363305928307]","(9420, 10511)","(33.59168335700143, 130.3631225944539)","(33.591626118350035, 130.3631620969142)"
-781.1736107517164,"[33.59162807816974, 130.3634180781714]","(9420, 10511)","(33.591626118350035, 130.3631620969142)","(33.59150777957925, 130.3632437667733)"
-898.5323099659012,"[33.59149708788245, 130.3634706327043]","(9420, 10511)","(33.59150777957925, 130.3632437667733)","(33.59139448184536, 130.36332195763083)"
-961.7725775415298,"[33.5913856316205, 130.3634003085367]","(9420, 10511)","(33.59139448184536, 130.36332195763083)","(33.5913867353307, 130.363326482588)"
-1092.5143488873628,"[33.59121771066784, 130.3634986114971]","(9420, 10511)","(33.5913867353307, 130.363326482588)","(33.5913277, 130.3633256)"
Path3
1,"[33.59219640263691, 130.3629273386955]","(9422, 10511)","(33.59211916880867, 130.36281838980113)","(33.59211916880867, 130.36281838980113)"
-49.737703789659314,"[33.59208496942519, 130.3629936688862]","(3076, 10511)","(33.59211916880867, 130.36281838980113)","(33.5920461, 130.36294)"
-173.216730245837,"[33.59202138849869, 130.3630717379324]","(9420, 10511)","(33.5920461, 130.36294)","(33.59193610541944, 130.36294816364347)"
-291.36891765676523,"[33.59195779080837, 130.3631459177755]","(9422, 10511)","(33.59193610541944, 130.36294816364347)","(33.5920251, 130.3628855)"
-429.2825016733129,"[33.59186160846948, 130.3632068374477]","(9420, 10511)","(33.5920251, 130.3628855)","(33.59176471805555, 130.36306644425235)"
-546.1027320350171,"[33.59180778826921, 130.3633028940581]","(9420, 10511)","(33.59176471805555, 130.36306644425235)","(33.59168335700143, 130.3631225944539)"
-664.461717954553,"[33.59172538158818, 130.363305928307]","(9420, 10511)","(33.59168335700143, 130.3631225944539)","(33.591626118350035, 130.3631620969142)"
-781.1736107517164,"[33.59162807816974, 130.3634180781714]","(9420, 10511)","(33.591626118350035, 130.3631620969142)","(33.59150777957925, 130.3632437667733)"
-898.5323099659012,"[33.59149708788245, 130.3634706327043]","(9420, 10511)","(33.59150777957925, 130.3632437667733)","(33.59139448184536, 130.36332195763083)"
-961.7725775415298,"[33.5913856316205, 130.3634003085367]","(9420, 10511)","(33.59139448184536, 130.36332195763083)","(33.5913867353307, 130.363326482588)"
-1092.5143488873628,"[33.59121771066784, 130.3634986114971]","(9420, 10511)","(33.5913867353307, 130.363326482588)","(33.5913277, 130.3633256)"
Path4
1,"[33.59219640263691, 130.3629273386955]","(9422, 10511)","(33.59211916880867, 130.36281838980113)","(33.59211916880867, 130.36281838980113)"
-49.737703789659314,"[33.59208496942519, 130.3629936688862]","(3076, 10511)","(33.59211916880867, 130.36281838980113)","(33.5920461, 130.36294)"
-170.803751613546,"[33.59202138849869, 130.3630717379324]","(3086, 10511)","(33.5920461, 130.36294)","(33.5920251, 130.3628855)"
-291.6167735092165,"[33.59195779080837, 130.3631459177755]","(3076, 10511)","(33.5920251, 130.3628855)","(33.5920461, 130.36294)"
-435.11022249922974,"[33.59186160846948, 130.3632068374477]","(9420, 10511)","(33.5920461, 130.36294)","(33.59176471805555, 130.36306644425235)"
-551.930452860934,"[33.59180778826921, 130.3633028940581]","(9420, 10511)","(33.59176471805555, 130.36306644425235)","(33.59168335700143, 130.3631225944539)"
-670.2894387804699,"[33.59172538158818, 130.363305928307]","(9420, 10511)","(33.59168335700143, 130.3631225944539)","(33.591626118350035, 130.3631620969142)"
-787.0013315776333,"[33.59162807816974, 130.3634180781714]","(9420, 10511)","(33.591626118350035, 130.3631620969142)","(33.59150777957925, 130.3632437667733)"
-904.3600307918181,"[33.59149708788245, 130.3634706327043]","(9420, 10511)","(33.59150777957925, 130.3632437667733)","(33.59139448184536, 130.36332195763083)"
-967.6002983674467,"[33.5913856316205, 130.3634003085367]","(9420, 10511)","(33.59139448184536, 130.36332195763083)","(33.5913867353307, 130.363326482588)"
-1098.3420697132797,"[33.59121771066784, 130.3634986114971]","(9420, 10511)","(33.5913867353307, 130.363326482588)","(33.5913277, 130.3633256)"
Path5
1,"[33.59219640263691, 130.3629273386955]","(9422, 10511)","(33.59211916880867, 130.36281838980113)","(33.59211916880867, 130.36281838980113)"
-49.737703789659314,"[33.59208496942519, 130.3629936688862]","(3076, 10511)","(33.59211916880867, 130.36281838980113)","(33.5920461, 130.36294)"
-170.803751613546,"[33.59202138849869, 130.3630717379324]","(9422, 10511)","(33.5920461, 130.36294)","(33.5920251, 130.3628855)"
-291.6167735092165,"[33.59195779080837, 130.3631459177755]","(3076, 10511)","(33.5920251, 130.3628855)","(33.5920461, 130.36294)"
-435.11022249922974,"[33.59186160846948, 130.3632068374477]","(9420, 10511)","(33.5920461, 130.36294)","(33.59176471805555, 130.36306644425235)"
-551.930452860934,"[33.59180778826921, 130.3633028940581]","(9420, 10511)","(33.59176471805555, 130.36306644425235)","(33.59168335700143, 130.3631225944539)"
-670.2894387804699,"[33.59172538158818, 130.363305928307]","(9420, 10511)","(33.59168335700143, 130.3631225944539)","(33.591626118350035, 130.3631620969142)"
-787.0013315776333,"[33.59162807816974, 130.3634180781714]","(9420, 10511)","(33.591626118350035, 130.3631620969142)","(33.59150777957925, 130.3632437667733)"
-904.3600307918181,"[33.59149708788245, 130.3634706327043]","(9420, 10511)","(33.59150777957925, 130.3632437667733)","(33.59139448184536, 130.36332195763083)"
-967.6002983674467,"[33.5913856316205, 130.3634003085367]","(9420, 10511)","(33.59139448184536, 130.36332195763083)","(33.5913867353307, 130.363326482588)"
-1098.3420697132797,"[33.59121771066784, 130.3634986114971]","(9420, 10511)","(33.5913867353307, 130.363326482588)","(33.5913277, 130.3633256)"
Path6
1,"[33.59219640263691, 130.3629273386955]","(9422, 10511)","(33.59211916880867, 130.36281838980113)","(33.59211916880867, 130.36281838980113)"
-49.737703789659314,"[33.59208496942519, 130.3629936688862]","(3076, 10511)","(33.59211916880867, 130.36281838980113)","(33.5920461, 130.36294)"
-170.803751613546,"[33.59202138849869, 130.3630717379324]","(3086, 10511)","(33.5920461, 130.36294)","(33.5920251, 130.3628855)"
-297.19663848268215,"[33.59195779080837, 130.3631459177755]","(9422, 10511)","(33.5920251, 130.3628855)","(33.5920251, 130.3628855)"
-435.1102224992298,"[33.59186160846948, 130.3632068374477]","(9420, 10511)","(33.5920251, 130.3628855)","(33.59176471805555, 130.36306644425235)"
-551.930452860934,"[33.59180778826921, 130.3633028940581]","(9420, 10511)","(33.59176471805555, 130.36306644425235)","(33.59168335700143, 130.3631225944539)"
-670.2894387804699,"[33.59172538158818, 130.363305928307]","(9420, 10511)","(33.59168335700143, 130.3631225944539)","(33.591626118350035, 130.3631620969142)"
-787.0013315776333,"[33.59162807816974, 130.3634180781714]","(9420, 10511)","(33.591626118350035, 130.3631620969142)","(33.59150777957925, 130.3632437667733)"
-904.3600307918181,"[33.59149708788245, 130.3634706327043]","(9420, 10511)","(33.59150777957925, 130.3632437667733)","(33.59139448184536, 130.36332195763083)"
-967.6002983674467,"[33.5913856316205, 130.3634003085367]","(9420, 10511)","(33.59139448184536, 130.36332195763083)","(33.5913867353307, 130.363326482588)"
-1098.3420697132797,"[33.59121771066784, 130.3634986114971]","(9420, 10511)","(33.5913867353307, 130.363326482588)","(33.5913277, 130.3633256)"
Path7
1,"[33.59219640263691, 130.3629273386955]","(9422, 10511)","(33.59211916880867, 130.36281838980113)","(33.59211916880867, 130.36281838980113)"
-49.737703789659314,"[33.59208496942519, 130.3629936688862]","(3076, 10511)","(33.59211916880867, 130.36281838980113)","(33.5920461, 130.36294)"
-173.216730245837,"[33.59202138849869, 130.3630717379324]","(9420, 10511)","(33.5920461, 130.36294)","(33.59193610541944, 130.36294816364347)"
-296.9487826302309,"[33.59195779080837, 130.3631459177755]","(3076, 10511)","(33.59193610541944, 130.36294816364347)","(33.5920461, 130.36294)"
-440.4422316202441,"[33.59186160846948, 130.3632068374477]","(9420, 10511)","(33.5920461, 130.36294)","(33.59176471805555, 130.36306644425235)"
-557.2624619819484,"[33.59180778826921, 130.3633028940581]","(9420, 10511)","(33.59176471805555, 130.36306644425235)","(33.59168335700143, 130.3631225944539)"
-675.6214479014843,"[33.59172538158818, 130.363305928307]","(9420, 10511)","(33.59168335700143, 130.3631225944539)","(33.591626118350035, 130.3631620969142)"
-792.3333406986477,"[33.59162807816974, 130.3634180781714]","(9420, 10511)","(33.591626118350035, 130.3631620969142)","(33.59150777957925, 130.3632437667733)"
-909.6920399128325,"[33.59149708788245, 130.3634706327043]","(9420, 10511)","(33.59150777957925, 130.3632437667733)","(33.59139448184536, 130.36332195763083)"
-972.9323074884611,"[33.5913856316205, 130.3634003085367]","(9420, 10511)","(33.59139448184536, 130.36332195763083)","(33.5913867353307, 130.363326482588)"
-1103.674078834294,"[33.59121771066784, 130.3634986114971]","(9420, 10511)","(33.5913867353307, 130.363326482588)","(33.5913277, 130.3633256)"
