prob,traj,current_path,matched_position_on_prev_edge,matched_position_on_current_edge
Path1
1,"[33.59651168718337, 130.3633304705195]","(8892, 8894)","(33.59648369415536, 130.36330736999213)","(33.59648369415536, 130.36330736999213)"
-5.937225500641025,"[33.59656611088067, 130.3632351012252]","(8892, 8894)","(33.59648369415536, 130.36330736999213)","(33.59655256010903, 130.36322391879895)"
-9.816999259715896,"[33.59662823754697, 130.3631405198298]","(8892, 8894)","(33.59655256010903, 130.36322391879895)","(33.59662415985483, 130.3631371548191)"
-13.795843617569684,"[33.5967062646836, 130.3630486038796]","(8892, 8894)","(33.59662415985483, 130.3631371548191)","(33.59670089260366, 130.3630441707086)"
-18.717108208587224,"[33.59677847477942, 130.3629680747449]","(8892, 8894)","(33.59670089260366, 130.3630441707086)","(33.596769678837255, 130.36296081611957)"
-22.37347708548246,"[33.59683977163731, 130.362881066399]","(8892, 8894)","(33.596769678837255, 130.36296081611957)","(33.59683722469865, 130.3628789646033)"
-26.67018951574871,"[33.59690973538309, 130.3627782875024]","(8892, 8894)","(33.59683722469865, 130.3628789646033)","(33.5969160236267, 130.36278347671393)"
-30.346824984900337,"[33.59698715902268, 130.3626998664163]","(8892, 8894)","(33.5969160236267, 130.36278347671393)","(33.59698588707051, 130.36269881677046)"
-35.9069239114021,"[33.59705109618007, 130.36264033814]","(8892, 8894)","(33.59698588707051, 130.36269881677046)","(33.59704101219996, 130.36263201659443)"
-40.373722361724504,"[33.59712228368371, 130.3625485227726]","(8892, 8894)","(33.59704101219996, 130.36263201659443)","(33.597114924738186, 130.36254244999185)"
-43.921144696502346,"[33.59717760424464, 130.3624672350757]","(8892, 8894)","(33.597114924738186, 130.36254244999185)","(33.597177291778145, 130.3624669761305)"
-47.831876832671625,"[33.59723136577158, 130.3623922673337]","(8892, 8894)","(33.597177291778145, 130.3624669761305)","(33.59723601265192, 130.3623961182665)"
-53.799053153926074,"[33.5973289227426, 130.3623054643444]","(8892, 8894)","(33.59723601265192, 130.3623961182665)","(33.597318379517986, 130.36229672703104)"
-62.3164169508032,"[33.59740093167275, 130.3622305468939]","(8892, 8894)","(33.597318379517986, 130.36229672703104)","(33.597384505106405, 130.36221693397536)"
-79.88685317183227,"[33.59749203457832, 130.3621431404076]","(8892, 8894)","(33.597384505106405, 130.36221693397536)","(33.59746454070226, 130.36212035585928)"
-87.10501779709024,"[33.59754962663501, 130.3620463461898]","(8892, 8894)","(33.59746454070226, 130.36212035585928)","(33.59753554459143, 130.36203467620913)"
-91.04113440943894,"[33.59759710173458, 130.3619512283526]","(8892, 8894)","(33.59753554459143, 130.36203467620913)","(33.5976016057544, 130.361954960895)"
-204.81217520187175,"[33.59757650739849, 130.3618346360795]","(8892, 8894)","(33.5976016057544, 130.361954960895)","(33.5976237, 130.3619283)"
-333.2097054561856,"[33.59751060887575, 130.3617338856034]","(8892, 8894)","(33.5976237, 130.3619283)","(33.5976237, 130.3619283)"
