ID,u1,u2,probability,segment_type
4,10508,9555,0.011978045,residential
8,9555,2203,0.001652641,residential
12,2203,10500,2.20E-12,residential
16,2203,10500,0.002147437,residential
20,2203,10500,0.0081445,residential
24,2203,10500,0.028466026,residential
28,2203,10500,0.030592953,residential
32,2203,10500,0.004094398,residential
36,2203,10500,0.028170947,residential
40,10500,10501,0.000251141,residential
44,10500,10501,1.18E-39,footway
48,10500,2199,1.58E-259,residential
52,2199,2197,1.02E-103,residential
52,2197,9680,1.02E-103,residential
52,9680,9681,1.02E-103,residential
56,9680,9681,0.02945822,residential
60,9680,9681,0.010777067,residential
64,9680,9681,0.004581766,residential
68,9680,9681,0.0316241,residential
72,9680,9681,0.000219229,residential
76,9680,9681,9.27E-26,residential
80,9680,9681,9.41E-29,residential
84,9680,9681,1.15E-14,residential
88,9680,9681,5.17E-08,residential
92,9680,9681,1.20E-98,residential
96,9680,9681,1.7592576618048e-310,residential
116,6590,10552,-,service
120,6590,10552,3.30E-05,service
124,6590,10552,0.000472818,service
128,6590,10552,0.006042503,service
132,6590,10552,3.84E-06,service
136,6590,6627,0.000353826,service
140,6590,6627,0.000702644,service
144,6590,6627,0.006728764,service
148,6590,6627,1.52E-05,service
152,6590,6627,0.008723016,service
156,6590,6627,7.66E-11,service
160,6590,6627,5.78E-08,service
164,6590,6627,2.23E-07,service
168,6590,6627,5.97E-06,service
172,6590,6627,2.58E-05,service
176,6627,6641,6.79E-06,service
180,6627,6648,0.000412601,['service' 'pedestrian']
184,6627,6648,0.0186411,['service' 'pedestrian']
188,6627,6648,0.000471681,['service' 'pedestrian']
192,6627,6648,0.00036925,['service' 'pedestrian']
196,6627,6648,2.64E-22,['service' 'pedestrian']
200,6627,6648,1.96E-15,['service' 'pedestrian']
204,6648,6646,1.44E-09,['service' 'pedestrian']
208,6648,6646,4.04E-10,pedestrian
212,6648,6646,0.000174499,pedestrian
216,6648,6646,0.00019758,pedestrian
220,6648,6646,0.000110795,pedestrian
224,6648,6646,0.002974874,pedestrian
228,6648,6646,0.00206308,pedestrian
232,6648,6646,0.011486895,pedestrian
236,6648,6646,0.000812042,pedestrian
240,6648,6646,1.40E-05,pedestrian
244,6648,6646,5.92E-10,pedestrian
248,6646,6649,4.35E-12,pedestrian
252,6646,6649,3.39E-23,pedestrian
256,6646,6649,1.12E-29,pedestrian
260,6646,6649,4.76E-12,pedestrian
264,6649,6651,3.35E-07,pedestrian
268,6649,6651,0.016742906,pedestrian
272,6649,6651,0.002551978,pedestrian
276,6649,6651,1.09E-10,pedestrian
280,6649,6651,6.89E-11,pedestrian
284,6649,6651,6.27E-14,pedestrian
288,6649,6651,6.69E-09,pedestrian
292,6651,6654,2.56E-08,pedestrian
296,6651,6654,1.75E-08,pedestrian
300,6651,6654,1.54E-20,pedestrian
304,6651,6654,6.56E-19,pedestrian
308,6654,6655,1.41E-08,pedestrian
312,6654,6655,0.000867075,pedestrian
316,6655,118,8.03E-06,pedestrian
320,6655,118,2.13E-05,pedestrian
324,6655,118,2.04E-08,pedestrian
328,6655,118,0.00039338,pedestrian
332,6655,118,0.022933145,pedestrian
336,118,6658,8.87E-05,pedestrian
340,6658,991,0.003542014,pedestrian
