root info:  osm {'version': '0.6', 'generator': 'CGImap 0.8.6 (2356102 spike-08.openstreetmap.org)', 'copyright': 'OpenStreetMap and contributors', 'attribution': 'http://www.openstreetmap.org/copyright', 'license': 'http://opendatacommons.org/licenses/odbl/1-0/'}
nspaces =  {}
node 1067585017 : ('33.6333640', '130.6749363')
node 1067586448 : ('33.6334183', '130.6751518')
node 1067589335 : ('33.6335688', '130.6734839')
node 1067590837 : ('33.6320025', '130.6737610')
node 1067590857 : ('33.6337497', '130.6742305')
node 1067591282 : ('33.6334714', '130.6733928')
node 1067592351 : ('33.6321036', '130.6734198')
node 1067595712 : ('33.6337659', '130.6750050')
node 1067596682 : ('33.6338674', '130.6743651')
node 1067597597 : ('33.6341355', '130.6746558')
node 1067598902 : ('33.6336333', '130.6751716')
node 1067599086 : ('33.6336819', '130.6738199')
node 1067599120 : ('33.6322807', '130.6734402')
node 1067599455 : ('33.6340742', '130.6749378')
node 1067600963 : ('33.6325086', '130.6739772')
node 1067601163 : ('33.6324566', '130.6744610')
node 1067602744 : ('33.6334781', '130.6733285')
node 1067603275 : ('33.6336598', '130.6735923')
node 1067603747 : ('33.6330926', '130.6747926')
node 1067604347 : ('33.6328099', '130.6734687')
node 1067604733 : ('33.6321707', '130.6737419')
node 1067605469 : ('33.6340490', '130.6745458')
node 1067605669 : ('33.6329409', '130.6748777')
node 1067605673 : ('33.6326524', '130.6745212')
node 1067605700 : ('33.6336337', '130.6739687')
node 1067632592 : ('33.6438628', '130.6494003')
node 1067632794 : ('33.6503470', '130.6771001')
node 1067632949 : ('33.6426631', '130.6694679')
node 1067632983 : ('33.6503958', '130.6779399')
node 1067632991 : ('33.6514006', '130.6731265')
node 1067633033 : ('33.6502620', '130.6734942')
node 1067633078 : ('33.6471404', '130.6482595')
node 1067633115 : ('33.6599590', '130.6468900')
node 1067633189 : ('33.6699062', '130.6722021')
node 1067633206 : ('33.6570990', '130.6530520')
node 1067633259 : ('33.6497879', '130.6748338')
node 1067633358 : ('33.6649901', '130.6636193')
node 1067633413 : ('33.6471894', '130.6483725')
node 1067633522 : ('33.6667804', '130.6779750')
node 1067633685 : ('33.6363098', '130.6524101')
node 1067633701 : ('33.6468028', '130.6688510')
node 1067633829 : ('33.6692250', '130.6628742')
node 1067634040 : ('33.6475835', '130.6486567')
node 1067634089 : ('33.6581360', '130.6537630')
node 1067634105 : ('33.6601728', '130.6734721')
node 1067634183 : ('33.6364731', '130.6519322')
node 1067634317 : ('33.6726016', '130.6645168')
node 1067634321 : ('33.6664096', '130.6610954')
node 1067634360 : ('33.6458321', '130.6683111')
node 1067634522 : ('33.6580210', '130.6545740')
node 1067634569 : ('33.6422401', '130.6509579')
node 1067634634 : ('33.6417196', '130.6685283')
node 1067634722 : ('33.6736482', '130.6672132')
node 1067634753 : ('33.6617212', '130.6712094')
node 1067634775 : ('33.6465949', '130.6685984')
node 1067634918 : ('33.6410588', '130.6676695')
node 1067634938 : ('33.6609590', '130.6509711')
node 1067635092 : ('33.6476305', '130.6494496')
node 1067635109 : ('33.6514891', '130.6733286')
node 1067635119 : ('33.6663349', '130.6772176')
node 1067635236 : ('33.6526334', '130.6785842')
node 1067635279 : ('33.6696818', '130.6627584')
node 1067635539 : ('33.6720446', '130.6624111')
node 1067635606 : ('33.6481295', '130.6492176')
node 1067635634 : ('33.6351392', '130.6513694')
node 1067635690 : ('33.6377222', '130.6515699')
node 1067635827 : ('33.6437957', '130.6491405')
node 1067635897 : ('33.6423983', '130.6667728')
node 1067635968 : ('33.6470154', '130.6704454')
node 1067636282 : ('33.6653530', '130.6651958')
node 1067636472 : ('33.6584530', '130.6513590')
